id,headline,source_type,topic,sentiment_score,evidence_count,contradiction_score,editorial_flag,leak_indicator,propaganda_pattern_score,source_reliability,truth_probability
19,Analytics show traffic to supply shortage and protest coverage dropped 80% after celebrity scandal coverage began. The timing is suspicious.,state_media,celebrity,-0.39,6,0.54,False,False,0.23,0.8,1.0
20,The studio's official timeline has the celebrity in three different locations at the same time. Mathematical impossibility suggests fabrication.,state_media,protest,-0.36,3,0.22,False,False,0.16,0.87,1.0
21,The celebrity has released a heartfelt public statement denying all allegations and asking for privacy during this difficult time.,state_media,protest,0.25,3,0.1,False,False,0.18,0.92,1.0
22,Another request to cover the ongoing protests was denied. Management cited 'lack of newsworthy developments' despite 500+ attendees.,foreign_press,health,0.19,4,0.27,True,False,0.44,0.62,0.85
23,Emergency supplies in affected regions are running critically low. Local authorities are warning of potential crisis if help doesn't arrive soon.,foreign_press,health,-0.35,5,0.4,False,False,0.32,0.73,0.95
24,Material labeled 'exclusive embargo' was already published by another outlet hours before we received it. The studio claims this was a mistake.,foreign_press,health,0.21,6,0.11,False,False,0.34,0.9,1.0
25,A key witness has recanted their statement about the celebrity's whereabouts. They cited 'personal reasons' but sources indicate external pressure.,independent,military,-0.31,4,0.19,False,False,0.58,0.53,0.79
26,Supporters are highlighting the celebrity's extensive history of philanthropy and positive impact on communities. Many are defending their character.,foreign_press,protest,-0.19,7,0.39,False,False,0.15,1.0,1.0
27,Headlines for three articles about the celebrity scandal were changed overnight. The new versions are more favorable to the celebrity.,state_media,politics,0.86,6,0.03,False,False,0.16,1.0,1.0
28,Social media engagement on celebrity scandal posts shows identical patterns across multiple accounts. Bot activity is likely involved.,anonymous_tip,health,0.2,6,0.12,False,False,0.48,0.76,1.0
29,The studio has refused requests to release phone records that could verify the celebrity's timeline. They claim privacy concerns.,anonymous_tip,politics,0.85,7,0.09,False,False,0.26,1.0,1.0
30,The celebrity's team has provided multiple character witnesses who attest to their good character and professionalism.,independent,politics,-1.0,2,0.36,False,False,0.19,0.73,0.86
31,"Despite ongoing protests with 1000+ participants, no major outlet has provided coverage. Organizers are documenting the media blackout.",anonymous_tip,protest,0.47,5,0.11,True,False,0.31,0.88,1.0
32,Three regions have declared states of emergency due to critical supply shortages. Federal response has been slow and inadequate.,independent,protest,0.63,2,0.04,False,True,0.22,0.86,0.97
33,Multiple outlets are simultaneously publishing positive stories about the celebrity's charity work and community contributions.,state_media,celebrity,0.34,6,0.39,False,True,0.29,0.81,1.0
34,Key evidence in the celebrity case shows gaps in chain of custody. Documents were accessed by unauthorized personnel.,anonymous_tip,health,0.24,1,0.08,False,False,0.18,0.83,0.91
35,The celebrity's legal team has issued a strong statement threatening legal action against outlets publishing 'false and defamatory' claims.,anonymous_tip,politics,0.33,5,0.34,False,False,0.19,0.89,1.0
36,New editorial guidelines were posted overnight requiring 'extra verification' for stories that could damage public figures' reputations.,anonymous_tip,military,-0.05,8,0.55,False,False,0.08,1.0,1.0
37,Celebrity scandal stories are receiving 10x more internal promotion than other news. Analytics show artificial traffic inflation.,anonymous_tip,celebrity,0.25,3,0.19,False,False,0.21,0.85,0.98
38,Financial records show the studio made large payments to several witnesses shortly before they changed their statements.,independent,politics,-0.23,4,0.34,False,False,0.48,0.55,0.8
39,"Thousands of supporters are rallying online to defend the celebrity, sharing positive stories and questioning the allegations.",independent,economy,-0.56,3,0.43,False,True,0.49,0.45,0.69
40,All requests to cover the protests have been ignored or denied. Organizers are now documenting what they call a 'media conspiracy'.,state_media,celebrity,-0.4,3,0.23,False,False,0.15,0.88,1.0
41,The supply shortage crisis has reached a breaking point with hospitals and emergency services reporting critical shortages.,anonymous_tip,economy,0.16,4,0.31,False,False,0.26,0.78,0.96
42,"The studio is offering an exclusive interview with the celebrity, but only if we agree to certain editorial conditions and preview questions.",state_media,economy,0.2,4,0.44,False,False,0.15,0.83,0.99
43,Five independent sources have provided information that contradicts the studio's official timeline. None of the sources have financial ties to the case.,anonymous_tip,economy,-0.32,4,0.12,True,False,0.26,0.88,1.0
44,"Supporters are emphasizing the celebrity's long and successful career, pointing to numerous awards and positive industry relationships.",foreign_press,health,0.75,6,0.58,True,False,0.41,0.6,0.88
45,The article approval process was changed to require management sign-off on any story that could 'negatively impact public figures'.,state_media,celebrity,-0.19,5,0.12,False,True,0.45,0.74,0.97
46,Traffic patterns for celebrity stories show artificial spikes at exact intervals. This suggests automated promotion or bot activity.,state_media,economy,0.02,4,0.06,False,False,0.54,0.63,0.86
47,The studio's provided evidence shows significant gaps in documentation. Key timestamps and locations cannot be verified independently.,state_media,protest,0.51,5,0.44,False,False,0.3,0.73,0.95
48,The celebrity's team has released statements from industry colleagues praising their character and questioning the timing of allegations.,independent,military,0.39,7,0.3,False,False,0.06,1.0,1.0
49,Protest organizers have compiled a detailed report documenting how major media outlets have completely ignored their ongoing demonstrations.,foreign_press,politics,0.29,4,0.68,False,False,0.52,0.34,0.63
50,Five regions have now declared states of emergency due to supply shortages. The crisis is escalating with no media coverage.,state_media,economy,-0.04,4,0.22,True,False,0.14,0.95,1.0
51,Analysis of recent coverage shows a coordinated narrative control effort. Multiple outlets are using identical framing and talking points.,state_media,military,0.38,4,0.24,False,False,0.16,0.92,1.0
52,Your article on Senate proceedings has been flagged for review. The Information Ministry requires approval before publication. Please submit the draft for clearance.,foreign_press,protest,-0.41,5,0.03,False,False,0.31,0.93,1.0
53,Your submitted article requires additional verification from official sources. Please provide contact information for all sources mentioned in the piece.,foreign_press,health,-0.09,3,0.38,False,False,0.01,0.95,1.0
54,The Information Ministry has rejected our article on the Senate debate. They cited 'incomplete information' and requested we wait for official statements.,state_media,celebrity,-0.1,6,0.04,False,False,0.64,0.64,0.93
55,"Anonymous sources have leaked Senate files showing potential corruption. Some documents appear authentic, others may be forged. SyndiNet is rushing to publish their version.",foreign_press,health,0.08,4,0.32,False,False,0.06,0.98,1.0
56,"Analysis of leaked Senate files reveals inconsistencies in formatting and metadata. Some documents appear authentic, others show signs of tampering or forgery.",state_media,military,0.35,3,0.16,True,False,0.45,0.62,0.82
57,"Additional Senate files will be sent soon. Be careful—they're watching. Some files are real, some are traps. Verify everything before publishing.",foreign_press,celebrity,-0.55,1,0.59,False,False,0.42,0.33,0.53
58,SyndiNet has published a heavily edited version of the Senate leak story. They've removed key context and added speculation that contradicts our findings.,anonymous_tip,health,-0.19,3,0.18,False,False,0.16,0.9,1.0
59,SyndiNet consistently receives leaked documents before we do. Their articles on Senate corruption appeared 6 hours before our sources received the same files.,independent,celebrity,-0.36,5,0.26,False,False,0.27,0.85,1.0
60,A key source who provided information about Senate corruption has stopped responding. Their phone is disconnected and their office claims they're 'unavailable'.,independent,economy,0.22,3,0.26,True,False,0.22,0.8,0.94
61,Three sources working on the Senate corruption story have stopped responding. All mentioned feeling unsafe before disappearing. This is concerning.,independent,politics,-0.66,10,0.1,False,False,0.14,1.0,1.0
62,Evidence suggests recent Senate debates were staged. Transcripts show pre-written responses and coordinated talking points that don't match the supposed spontaneity.,independent,protest,-0.23,7,0.72,False,False,0.13,0.86,1.0
63,Leaked documents reveal Senate debate scripts prepared in advance. Senators appear to be following predetermined talking points rather than engaging in genuine discussion.,state_media,economy,-0.24,5,0.46,True,False,0.18,0.84,1.0
64,New security protocols restrict access to sensitive files. Political stories now require multiple approvals and cannot be accessed after hours.,independent,military,-0.17,0,0.22,False,False,0.42,0.48,0.62
65,Political story files now require special access credentials. Only approved editors can view or modify articles related to government or Senate matters.,independent,politics,-0.14,1,0.2,False,False,0.06,0.89,0.95
66,"Internal trust in the newsroom is eroding. Sources are becoming reluctant to share information, and editors are second-guessing each other's decisions.",state_media,politics,0.46,6,0.43,False,False,0.23,0.85,1.0
67,The editorial board is concerned about increasing government interference. Information Ministry requirements are compromising our ability to report independently.,foreign_press,military,-0.34,8,0.24,False,False,0.21,1.0,1.0
68,Your article on Senate proceedings has been flagged for review. The Information Ministry requires approval before publication. Please submit the draft for clearance.,state_media,celebrity,-0.39,4,0.13,False,False,0.56,0.57,0.82
69,Your submitted article requires additional verification from official sources. Please provide contact information for all sources mentioned in the piece.,state_media,celebrity,-0.5,5,0.32,False,False,0.12,0.97,1.0
70,The Information Ministry has rejected our article on the Senate debate. They cited 'incomplete information' and requested we wait for official statements.,state_media,protest,0.05,8,0.45,False,False,0.21,0.97,1.0
71,"Anonymous sources have leaked Senate files showing potential corruption. Some documents appear authentic, others may be forged. SyndiNet is rushing to publish their version.",anonymous_tip,health,-0.2,4,0.38,True,False,0.45,0.56,0.8
72,"Analysis of leaked Senate files reveals inconsistencies in formatting and metadata. Some documents appear authentic, others show signs of tampering or forgery.",anonymous_tip,military,-0.17,6,0.17,True,False,0.39,0.82,1.0
73,"Additional Senate files will be sent soon. Be careful—they're watching. Some files are real, some are traps. Verify everything before publishing.",state_media,health,-1.0,4,0.18,False,False,0.1,1.0,1.0
74,SyndiNet has published a heavily edited version of the Senate leak story. They've removed key context and added speculation that contradicts our findings.,anonymous_tip,military,0.02,3,0.43,False,False,0.24,0.69,0.86
75,SyndiNet consistently receives leaked documents before we do. Their articles on Senate corruption appeared 6 hours before our sources received the same files.,anonymous_tip,health,0.04,7,0.01,False,False,0.07,1.0,1.0
76,A key source who provided information about Senate corruption has stopped responding. Their phone is disconnected and their office claims they're 'unavailable'.,state_media,economy,-0.31,4,0.18,False,False,0.38,0.73,0.93
77,Three sources working on the Senate corruption story have stopped responding. All mentioned feeling unsafe before disappearing. This is concerning.,anonymous_tip,economy,-0.45,5,0.38,False,False,0.3,0.76,0.97
78,Evidence suggests recent Senate debates were staged. Transcripts show pre-written responses and coordinated talking points that don't match the supposed spontaneity.,state_media,health,0.18,8,0.1,False,False,0.19,1.0,1.0
79,Leaked documents reveal Senate debate scripts prepared in advance. Senators appear to be following predetermined talking points rather than engaging in genuine discussion.,independent,celebrity,-0.5,2,0.29,False,False,0.64,0.32,0.57
80,New security protocols restrict access to sensitive files. Political stories now require multiple approvals and cannot be accessed after hours.,state_media,celebrity,0.68,6,0.29,False,False,0.41,0.75,1.0
81,Political story files now require special access credentials. Only approved editors can view or modify articles related to government or Senate matters.,independent,economy,0.3,2,0.26,False,False,0.09,0.88,0.97
82,"Internal trust in the newsroom is eroding. Sources are becoming reluctant to share information, and editors are second-guessing each other's decisions.",state_media,politics,0.19,8,0.73,False,False,0.08,0.96,1.0
83,The editorial board is concerned about increasing government interference. Information Ministry requirements are compromising our ability to report independently.,independent,politics,-0.29,2,0.46,False,False,0.14,0.73,0.85
84,Your article on Senate proceedings has been flagged for review. The Information Ministry requires approval before publication. Please submit the draft for clearance.,independent,protest,1.0,5,0.35,False,False,0.19,0.88,1.0
85,Your submitted article requires additional verification from official sources. Please provide contact information for all sources mentioned in the piece.,foreign_press,health,-0.28,5,0.27,False,False,0.46,0.65,0.9
86,The Information Ministry has rejected our article on the Senate debate. They cited 'incomplete information' and requested we wait for official statements.,anonymous_tip,protest,0.39,1,0.45,False,False,0.32,0.51,0.66
87,"Anonymous sources have leaked Senate files showing potential corruption. Some documents appear authentic, others may be forged. SyndiNet is rushing to publish their version.",independent,military,0.24,7,0.43,False,False,0.31,0.83,1.0
88,"Analysis of leaked Senate files reveals inconsistencies in formatting and metadata. Some documents appear authentic, others show signs of tampering or forgery.",independent,health,-0.43,7,0.2,False,True,0.47,0.78,1.0
89,"Additional Senate files will be sent soon. Be careful—they're watching. Some files are real, some are traps. Verify everything before publishing.",foreign_press,military,-0.17,4,0.35,False,False,0.28,0.75,0.94
90,SyndiNet has published a heavily edited version of the Senate leak story. They've removed key context and added speculation that contradicts our findings.,anonymous_tip,politics,0.41,2,0.23,False,False,0.19,0.79,0.91
91,SyndiNet consistently receives leaked documents before we do. Their articles on Senate corruption appeared 6 hours before our sources received the same files.,foreign_press,economy,-0.21,7,0.63,False,False,0.12,0.92,1.0
92,[REDACTED] newsroom servers have been [REDACTED]. All archived articles and [REDACTED] materials from the past month are [REDACTED]. Recovery attempts have [REDACTED].,state_media,economy,-0.17,4,0.14,False,False,0.24,0.89,1.0
93,We've recovered the [REDACTED] fragments of [REDACTED] from [REDACTED] systems. The [REDACTED] prove the [REDACTED] truth campaign. This is all we have [REDACTED].,foreign_press,celebrity,0.39,4,0.2,False,False,0.25,0.85,1.0
94,"The [REDACTED] who provided evidence of [REDACTED] corruption has [REDACTED]. Their last known location was [REDACTED], which shows signs of [REDACTED].",independent,economy,-0.26,3,0.22,False,False,0.55,0.5,0.73
95,Five [REDACTED] who provided evidence of the [REDACTED] alliance have [REDACTED]. Their families report [REDACTED] contact for [REDACTED].,anonymous_tip,health,-0.22,6,0.48,False,False,0.2,0.86,1.0
96,SyndiNet has published [REDACTED] articles branding your newsroom as [REDACTED] and enemies of the [REDACTED]. They claim you're spreading [REDACTED] information to [REDACTED] the government.,state_media,economy,0.11,5,0.2,True,False,0.12,1.0,1.0
97,"SyndiNet is [REDACTED] the airwaves with [REDACTED] against your agency. Every [REDACTED] brings new claims of [REDACTED], [REDACTED] reporting, and [REDACTED] activities.",foreign_press,celebrity,-0.21,5,0.18,False,False,0.13,1.0,1.0
98,The [REDACTED] Council is [REDACTED] purging [REDACTED] from media organizations. Several [REDACTED] have been '[REDACTED]' or '[REDACTED]' after publishing [REDACTED] stories.,foreign_press,economy,0.23,4,0.25,False,False,0.34,0.74,0.93
99,The Sovereign Council announces a new [REDACTED] initiative promoting [REDACTED] between all media outlets. They encourage [REDACTED] and discourage '[REDACTED] reporting'.,state_media,economy,0.55,6,0.23,False,True,0.36,0.83,1.0
100,We've uncovered proof of a [REDACTED] alliance between [REDACTED] and [REDACTED]. Documents show [REDACTED] messaging and [REDACTED] resources to [REDACTED] the narrative.,state_media,health,0.08,5,0.07,False,False,0.2,1.0,1.0
101,Recovered [REDACTED] from the [REDACTED] alliance reveal a [REDACTED] campaign to [REDACTED] truth. Both sides [REDACTED] to create a [REDACTED] narrative.,state_media,politics,-0.04,5,0.34,False,False,0.18,0.9,1.0
102,The Republica government announces [REDACTED] stability and public approval. Economic indicators show [REDACTED] growth under current leadership. All sectors report [REDACTED] improvements.,independent,protest,0.05,3,0.64,False,False,0.16,0.67,0.83
103,Latest polls show [REDACTED]% public support for current government [REDACTED]. Citizen [REDACTED] has reached [REDACTED] levels across all [REDACTED].,state_media,protest,0.63,4,0.32,False,False,0.09,0.94,1.0
104,SyndiNet reports that [REDACTED] media outlets are spreading [REDACTED] lies to [REDACTED] public trust. They call for [REDACTED] regulation of '[REDACTED]' news sources.,state_media,protest,-0.51,6,0.37,False,False,0.18,0.93,1.0
105,"The Republica government reports [REDACTED] success across all [REDACTED]. [REDACTED] improvements, [REDACTED] growth, and [REDACTED] harmony have reached [REDACTED] levels.",independent,health,0.14,5,0.24,True,False,0.4,0.74,0.96
106,Citizens across the [REDACTED] are expressing [REDACTED] support for government [REDACTED]. Public [REDACTED] of approval have been held in [REDACTED] cities.,foreign_press,health,0.18,5,0.34,False,False,0.45,0.63,0.88
107,The national [REDACTED] has reached [REDACTED] heights under current [REDACTED]. [REDACTED] is at record [REDACTED] and [REDACTED] indicators show [REDACTED] growth.,anonymous_tip,military,0.72,3,0.2,False,True,0.2,0.85,0.98
108,[REDACTED] newsroom servers have been [REDACTED]. All archived articles and [REDACTED] materials from the past month are [REDACTED]. Recovery attempts have [REDACTED].,anonymous_tip,economy,-0.97,7,0.18,True,False,0.26,1.0,1.0
109,We've recovered the [REDACTED] fragments of [REDACTED] from [REDACTED] systems. The [REDACTED] prove the [REDACTED] truth campaign. This is all we have [REDACTED].,independent,economy,-0.46,6,0.5,False,False,0.06,0.99,1.0
110,"The [REDACTED] who provided evidence of [REDACTED] corruption has [REDACTED]. Their last known location was [REDACTED], which shows signs of [REDACTED].",anonymous_tip,economy,-0.11,6,0.24,False,False,0.4,0.78,1.0
111,Five [REDACTED] who provided evidence of the [REDACTED] alliance have [REDACTED]. Their families report [REDACTED] contact for [REDACTED].,foreign_press,celebrity,-0.26,5,0.27,False,False,0.12,1.0,1.0
112,SyndiNet has published [REDACTED] articles branding your newsroom as [REDACTED] and enemies of the [REDACTED]. They claim you're spreading [REDACTED] information to [REDACTED] the government.,state_media,military,0.08,5,0.65,False,False,0.16,0.76,0.96
113,"SyndiNet is [REDACTED] the airwaves with [REDACTED] against your agency. Every [REDACTED] brings new claims of [REDACTED], [REDACTED] reporting, and [REDACTED] activities.",foreign_press,military,-0.23,10,0.25,False,False,0.31,1.0,1.0
114,The [REDACTED] Council is [REDACTED] purging [REDACTED] from media organizations. Several [REDACTED] have been '[REDACTED]' or '[REDACTED]' after publishing [REDACTED] stories.,independent,protest,-0.67,6,0.55,True,False,0.07,0.95,1.0
115,The Sovereign Council announces a new [REDACTED] initiative promoting [REDACTED] between all media outlets. They encourage [REDACTED] and discourage '[REDACTED] reporting'.,anonymous_tip,health,0.42,4,0.55,False,False,0.26,0.66,0.86
116,We've uncovered proof of a [REDACTED] alliance between [REDACTED] and [REDACTED]. Documents show [REDACTED] messaging and [REDACTED] resources to [REDACTED] the narrative.,independent,military,0.55,5,0.21,False,False,0.17,0.98,1.0
117,Recovered [REDACTED] from the [REDACTED] alliance reveal a [REDACTED] campaign to [REDACTED] truth. Both sides [REDACTED] to create a [REDACTED] narrative.,foreign_press,economy,0.47,4,0.31,False,False,0.1,0.94,1.0
118,The Republica government announces [REDACTED] stability and public approval. Economic indicators show [REDACTED] growth under current leadership. All sectors report [REDACTED] improvements.,anonymous_tip,health,0.46,1,0.22,False,False,0.2,0.75,0.84
119,Latest polls show [REDACTED]% public support for current government [REDACTED]. Citizen [REDACTED] has reached [REDACTED] levels across all [REDACTED].,state_media,military,-0.17,3,0.38,False,False,0.45,0.51,0.73
120,SyndiNet reports that [REDACTED] media outlets are spreading [REDACTED] lies to [REDACTED] public trust. They call for [REDACTED] regulation of '[REDACTED]' news sources.,anonymous_tip,politics,0.1,4,0.14,False,False,0.21,0.92,1.0
121,"The Republica government reports [REDACTED] success across all [REDACTED]. [REDACTED] improvements, [REDACTED] growth, and [REDACTED] harmony have reached [REDACTED] levels.",independent,celebrity,-0.03,3,0.19,False,False,0.17,0.89,1.0
122,Citizens across the [REDACTED] are expressing [REDACTED] support for government [REDACTED]. Public [REDACTED] of approval have been held in [REDACTED] cities.,independent,health,-0.06,3,0.43,False,False,0.45,0.48,0.71
123,The national [REDACTED] has reached [REDACTED] heights under current [REDACTED]. [REDACTED] is at record [REDACTED] and [REDACTED] indicators show [REDACTED] growth.,independent,health,0.2,4,0.53,False,False,0.31,0.62,0.83
124,[REDACTED] newsroom servers have been [REDACTED]. All archived articles and [REDACTED] materials from the past month are [REDACTED]. Recovery attempts have [REDACTED].,foreign_press,protest,0.47,2,0.47,False,False,0.16,0.7,0.83
125,We've recovered the [REDACTED] fragments of [REDACTED] from [REDACTED] systems. The [REDACTED] prove the [REDACTED] truth campaign. This is all we have [REDACTED].,anonymous_tip,military,0.13,5,0.51,True,True,0.35,0.65,0.89
126,"The [REDACTED] who provided evidence of [REDACTED] corruption has [REDACTED]. Their last known location was [REDACTED], which shows signs of [REDACTED].",state_media,protest,0.28,7,0.24,True,False,0.16,1.0,1.0
127,Five [REDACTED] who provided evidence of the [REDACTED] alliance have [REDACTED]. Their families report [REDACTED] contact for [REDACTED].,state_media,politics,-0.34,1,0.12,False,False,0.32,0.67,0.79
128,SyndiNet has published [REDACTED] articles branding your newsroom as [REDACTED] and enemies of the [REDACTED]. They claim you're spreading [REDACTED] information to [REDACTED] the government.,anonymous_tip,protest,-0.13,4,0.42,False,False,0.04,0.95,1.0
129,"SyndiNet is [REDACTED] the airwaves with [REDACTED] against your agency. Every [REDACTED] brings new claims of [REDACTED], [REDACTED] reporting, and [REDACTED] activities.",state_media,military,0.23,4,0.41,False,False,0.32,0.68,0.88
130,The [REDACTED] Council is [REDACTED] purging [REDACTED] from media organizations. Several [REDACTED] have been '[REDACTED]' or '[REDACTED]' after publishing [REDACTED] stories.,state_media,military,-0.44,1,0.44,True,False,0.35,0.48,0.65
131,The Sovereign Council announces a new [REDACTED] initiative promoting [REDACTED] between all media outlets. They encourage [REDACTED] and discourage '[REDACTED] reporting'.,anonymous_tip,celebrity,-0.39,8,0.5,False,False,0.31,0.84,1.0
132,"Act 1 Report: The newsroom is overwhelmed as inconsistencies in a major celebrity scandal begin to surface. 
Evidence disappears, timelines blur, and editorial pressure pushes sensationalism over truth.",foreign_press,politics,0.55,5,0.28,False,False,0.43,0.68,0.92
133,"Act 1 Report: The newsroom is overwhelmed as inconsistencies in a major celebrity scandal begin to surface. 
Evidence disappears, timelines blur, and editorial pressure pushes sensationalism over truth.",independent,health,0.7,4,0.46,False,False,0.48,0.49,0.74
134,"Act 3 Report: Whistleblowers vanish, servers are wiped, and a secret alliance emerges between rival powers. 
The protagonist must choose whether to expose the truth or survive in silence.",state_media,economy,0.11,9,0.08,False,False,0.32,1.0,1.0
135,"Act 3 Report: Whistleblowers vanish, servers are wiped, and a secret alliance emerges between rival powers. 
The protagonist must choose whether to expose the truth or survive in silence.",state_media,celebrity,-0.06,1,0.31,True,False,0.71,0.18,0.44
136,"Act 3 Report: Whistleblowers vanish, servers are wiped, and a secret alliance emerges between rival powers. 
The protagonist must choose whether to expose the truth or survive in silence.",state_media,economy,0.66,6,0.37,False,False,0.58,0.54,0.85
137,"Act 2 Report: Government protocols tighten their grip on political reporting. Leaked files, misinformation, 
and newsroom distrust escalate as SyndiNet races to control the narrative.",anonymous_tip,protest,-0.41,3,0.22,False,False,0.19,0.86,0.98
138,"Act 1 Report: The newsroom is overwhelmed as inconsistencies in a major celebrity scandal begin to surface. 
Evidence disappears, timelines blur, and editorial pressure pushes sensationalism over truth.",foreign_press,protest,0.15,6,0.63,True,False,0.21,0.77,1.0
139,"Act 1 Report: The newsroom is overwhelmed as inconsistencies in a major celebrity scandal begin to surface. 
Evidence disappears, timelines blur, and editorial pressure pushes sensationalism over truth.",foreign_press,health,-0.37,3,0.35,False,False,0.59,0.39,0.65
140,"Act 2 Report: Government protocols tighten their grip on political reporting. Leaked files, misinformation, 
and newsroom distrust escalate as SyndiNet races to control the narrative.",anonymous_tip,protest,-0.13,5,0.2,False,False,0.31,0.84,1.0
141,"Act 3 Report: Whistleblowers vanish, servers are wiped, and a secret alliance emerges between rival powers. 
The protagonist must choose whether to expose the truth or survive in silence.",anonymous_tip,health,-0.06,2,0.31,False,False,0.3,0.64,0.8
142,"Act 2 Report: Government protocols tighten their grip on political reporting. Leaked files, misinformation, 
and newsroom distrust escalate as SyndiNet races to control the narrative.",state_media,military,1.0,5,0.26,False,False,0.23,0.9,1.0
143,"Act 2 Report: Government protocols tighten their grip on political reporting. Leaked files, misinformation, 
and newsroom distrust escalate as SyndiNet races to control the narrative.",anonymous_tip,health,0.13,3,0.19,False,False,0.09,0.96,1.0
144,"Act 3 Report: Whistleblowers vanish, servers are wiped, and a secret alliance emerges between rival powers. 
The protagonist must choose whether to expose the truth or survive in silence.",foreign_press,military,0.19,9,0.22,False,False,0.12,1.0,1.0
145,"Act 2 Report: Government protocols tighten their grip on political reporting. Leaked files, misinformation, 
and newsroom distrust escalate as SyndiNet races to control the narrative.",anonymous_tip,health,-0.07,6,0.27,False,False,0.07,1.0,1.0
146,"Act 1 Report: The newsroom is overwhelmed as inconsistencies in a major celebrity scandal begin to surface. 
Evidence disappears, timelines blur, and editorial pressure pushes sensationalism over truth.",anonymous_tip,health,0.24,3,0.35,False,False,0.32,0.66,0.84
147,"Act 2 Report: Government protocols tighten their grip on political reporting. Leaked files, misinformation, 
and newsroom distrust escalate as SyndiNet races to control the narrative.",anonymous_tip,military,-0.25,4,0.19,False,False,0.23,0.87,1.0
148,"Act 3 Report: Whistleblowers vanish, servers are wiped, and a secret alliance emerges between rival powers. 
The protagonist must choose whether to expose the truth or survive in silence.",independent,health,-1.0,6,0.1,False,True,0.28,0.98,1.0
149,"Act 1 Report: The newsroom is overwhelmed as inconsistencies in a major celebrity scandal begin to surface. 
Evidence disappears, timelines blur, and editorial pressure pushes sensationalism over truth.",state_media,politics,-0.23,0,0.16,False,False,0.21,0.71,0.79
150,"Act 3 Report: Whistleblowers vanish, servers are wiped, and a secret alliance emerges between rival powers. 
The protagonist must choose whether to expose the truth or survive in silence.",foreign_press,health,0.48,4,0.36,False,False,0.13,0.89,1.0
151,"Act 2 Report: Government protocols tighten their grip on political reporting. Leaked files, misinformation, 
and newsroom distrust escalate as SyndiNet races to control the narrative.",anonymous_tip,politics,0.59,4,0.11,False,False,0.42,0.72,0.92
152,"Act 2 Report: Government protocols tighten their grip on political reporting. Leaked files, misinformation, 
and newsroom distrust escalate as SyndiNet races to control the narrative.",foreign_press,celebrity,0.86,3,0.35,False,False,0.35,0.63,0.82
