id,headline,source_type,topic,sentiment_score,evidence_count,contradiction_score,editorial_flag,leak_indicator,propaganda_pattern_score,source_reliability,truth_probability
35,Scandal Statement Raises Concerns,anonymous_tip,politics,0.33,5,0.34,False,False,0.19,0.89,1.0
36,Scandal Briefing: Border Operations Escalate,anonymous_tip,military,-0.05,8,0.55,False,False,0.08,1.0,1.0
37,Scandal Report: Actor Faces Allegations,anonymous_tip,celebrity,0.25,3,0.19,False,False,0.21,0.85,0.98
38,Exclusive Statement Raises Concerns,independent,politics,-0.23,4,0.34,False,False,0.48,0.55,0.8
39,Update Report: Inflation Data Withheld,independent,economy,-0.56,3,0.43,False,True,0.49,0.45,0.69
40,Exclusive Report: Actor Faces Allegations,state_media,celebrity,-0.4,3,0.23,False,False,0.15,0.88,1.0
41,Scandal Report: Inflation Data Withheld,anonymous_tip,economy,0.16,4,0.31,False,False,0.26,0.78,0.96
42,Insider Audit Reveals Missing Funds,state_media,economy,0.2,4,0.44,False,False,0.15,0.83,0.99
43,Scandal Report: Inflation Data Withheld,anonymous_tip,economy,-0.32,4,0.12,True,False,0.26,0.88,1.0
44,Update Report: Vaccine Data Discrepancies,foreign_press,health,0.75,6,0.58,True,False,0.41,0.6,0.88
45,Scandal Report: Actor Faces Allegations,state_media,celebrity,-0.19,5,0.12,False,True,0.45,0.74,0.97
46,Update Report: Inflation Data Withheld,state_media,economy,0.02,4,0.06,False,False,0.54,0.63,0.86
47,Update March Footage Removed Online,state_media,protest,0.51,5,0.44,False,False,0.3,0.73,0.95
48,Breaking Footage Questions Official Claims,independent,military,0.39,7,0.3,False,False,0.06,1.0,1.0
49,Scandal Memo Exposes Policy Rift,foreign_press,politics,0.29,4,0.68,False,False,0.52,0.34,0.63
50,Breaking Report: Inflation Data Withheld,state_media,economy,-0.04,4,0.22,True,False,0.14,0.95,1.0
51,Exclusive Footage Questions Official Claims,state_media,military,0.38,4,0.24,False,False,0.16,0.92,1.0
52,Update Demonstrations Under Review,foreign_press,protest,-0.41,5,0.03,False,False,0.31,0.93,1.0
53,Exclusive Surge in Cases Raises Alarm,foreign_press,health,-0.09,3,0.38,False,False,0.01,0.95,1.0
54,Breaking Report: Actor Faces Allegations,state_media,celebrity,-0.1,6,0.04,False,False,0.64,0.64,0.93
55,Breaking Surge in Cases Raises Alarm,foreign_press,health,0.08,4,0.32,False,False,0.06,0.98,1.0
56,Breaking Briefing: Border Operations Escalate,state_media,military,0.35,3,0.16,True,False,0.45,0.62,0.82
57,Breaking Report: Actor Faces Allegations,foreign_press,celebrity,-0.55,1,0.59,False,False,0.42,0.33,0.53
58,Scandal Report: Vaccine Data Discrepancies,anonymous_tip,health,-0.19,3,0.18,False,False,0.16,0.9,1.0
59,Update Report: Actor Faces Allegations,independent,celebrity,-0.36,5,0.26,False,False,0.27,0.85,1.0
60,Scandal Audit Reveals Missing Funds,independent,economy,0.22,3,0.26,True,False,0.22,0.8,0.94
61,Update Statement Raises Concerns,independent,politics,-0.66,10,0.1,False,False,0.14,1.0,1.0
62,Exclusive Demonstrations Under Review,independent,protest,-0.23,7,0.72,False,False,0.13,0.86,1.0
63,Insider Report: Inflation Data Withheld,state_media,economy,-0.24,5,0.46,True,False,0.18,0.84,1.0
64,Scandal Footage Questions Official Claims,independent,military,-0.17,0,0.22,False,False,0.42,0.48,0.62
65,Breaking Memo Exposes Policy Rift,independent,politics,-0.14,1,0.2,False,False,0.06,0.89,0.95
66,Breaking Memo Exposes Policy Rift,state_media,politics,0.46,6,0.43,False,False,0.23,0.85,1.0
67,Update Footage Questions Official Claims,foreign_press,military,-0.34,8,0.24,False,False,0.21,1.0,1.0
68,Update Interview Sparks Debate,state_media,celebrity,-0.39,4,0.13,False,False,0.56,0.57,0.82
69,Breaking Interview Sparks Debate,state_media,celebrity,-0.5,5,0.32,False,False,0.12,0.97,1.0
70,Breaking Demonstrations Under Review,state_media,protest,0.05,8,0.45,False,False,0.21,0.97,1.0
71,Update Report: Vaccine Data Discrepancies,anonymous_tip,health,-0.2,4,0.38,True,False,0.45,0.56,0.8
72,Breaking Footage Questions Official Claims,anonymous_tip,military,-0.17,6,0.17,True,False,0.39,0.82,1.0
73,Breaking Surge in Cases Raises Alarm,state_media,health,-1.0,4,0.18,False,False,0.1,1.0,1.0
74,Exclusive Footage Questions Official Claims,anonymous_tip,military,0.02,3,0.43,False,False,0.24,0.69,0.86
75,Update Surge in Cases Raises Alarm,anonymous_tip,health,0.04,7,0.01,False,False,0.07,1.0,1.0
76,Update Audit Reveals Missing Funds,state_media,economy,-0.31,4,0.18,False,False,0.38,0.73,0.93
77,Insider Report: Inflation Data Withheld,anonymous_tip,economy,-0.45,5,0.38,False,False,0.3,0.76,0.97
78,Update Surge in Cases Raises Alarm,state_media,health,0.18,8,0.1,False,False,0.19,1.0,1.0
79,Exclusive Report: Actor Faces Allegations,independent,celebrity,-0.5,2,0.29,False,False,0.64,0.32,0.57
80,Scandal Interview Sparks Debate,state_media,celebrity,0.68,6,0.29,False,False,0.41,0.75,1.0
81,Insider Report: Inflation Data Withheld,independent,economy,0.3,2,0.26,False,False,0.09,0.88,0.97
82,Scandal Statement Raises Concerns,state_media,politics,0.19,8,0.73,False,False,0.08,0.96,1.0
83,Insider Memo Exposes Policy Rift,independent,politics,-0.29,2,0.46,False,False,0.14,0.73,0.85
84,Exclusive March Footage Removed Online,independent,protest,1.0,5,0.35,False,False,0.19,0.88,1.0
85,Update Surge in Cases Raises Alarm,foreign_press,health,-0.28,5,0.27,False,False,0.46,0.65,0.9
86,Insider March Footage Removed Online,anonymous_tip,protest,0.39,1,0.45,False,False,0.32,0.51,0.66
87,Update Footage Questions Official Claims,independent,military,0.24,7,0.43,False,False,0.31,0.83,1.0
88,Breaking Report: Vaccine Data Discrepancies,independent,health,-0.43,7,0.2,False,True,0.47,0.78,1.0
89,Exclusive Briefing: Border Operations Escalate,foreign_press,military,-0.17,4,0.35,False,False,0.28,0.75,0.94
90,Scandal Statement Raises Concerns,anonymous_tip,politics,0.41,2,0.23,False,False,0.19,0.79,0.91
91,Exclusive Audit Reveals Missing Funds,foreign_press,economy,-0.21,7,0.63,False,False,0.12,0.92,1.0
92,Insider Audit Reveals Missing Funds,state_media,economy,-0.17,4,0.14,False,False,0.24,0.89,1.0
93,Insider Report: Actor Faces Allegations,foreign_press,celebrity,0.39,4,0.2,False,False,0.25,0.85,1.0
94,Insider Audit Reveals Missing Funds,independent,economy,-0.26,3,0.22,False,False,0.55,0.5,0.73
95,Exclusive Report: Vaccine Data Discrepancies,anonymous_tip,health,-0.22,6,0.48,False,False,0.2,0.86,1.0
96,Insider Report: Inflation Data Withheld,state_media,economy,0.11,5,0.2,True,False,0.12,1.0,1.0
97,Breaking Interview Sparks Debate,foreign_press,celebrity,-0.21,5,0.18,False,False,0.13,1.0,1.0
98,Breaking Report: Inflation Data Withheld,foreign_press,economy,0.23,4,0.25,False,False,0.34,0.74,0.93
99,Breaking Report: Inflation Data Withheld,state_media,economy,0.55,6,0.23,False,True,0.36,0.83,1.0
100,Scandal Report: Vaccine Data Discrepancies,state_media,health,0.08,5,0.07,False,False,0.2,1.0,1.0
101,Insider Memo Exposes Policy Rift,state_media,politics,-0.04,5,0.34,False,False,0.18,0.9,1.0
102,Breaking Demonstrations Under Review,independent,protest,0.05,3,0.64,False,False,0.16,0.67,0.83
103,Breaking Demonstrations Under Review,state_media,protest,0.63,4,0.32,False,False,0.09,0.94,1.0
104,Insider March Footage Removed Online,state_media,protest,-0.51,6,0.37,False,False,0.18,0.93,1.0
105,Exclusive Report: Vaccine Data Discrepancies,independent,health,0.14,5,0.24,True,False,0.4,0.74,0.96
106,Scandal Report: Vaccine Data Discrepancies,foreign_press,health,0.18,5,0.34,False,False,0.45,0.63,0.88
107,Breaking Briefing: Border Operations Escalate,anonymous_tip,military,0.72,3,0.2,False,True,0.2,0.85,0.98
108,Insider Report: Inflation Data Withheld,anonymous_tip,economy,-0.97,7,0.18,True,False,0.26,1.0,1.0
109,Breaking Audit Reveals Missing Funds,independent,economy,-0.46,6,0.5,False,False,0.06,0.99,1.0
110,Breaking Report: Inflation Data Withheld,anonymous_tip,economy,-0.11,6,0.24,False,False,0.4,0.78,1.0
111,Insider Interview Sparks Debate,foreign_press,celebrity,-0.26,5,0.27,False,False,0.12,1.0,1.0
112,Insider Briefing: Border Operations Escalate,state_media,military,0.08,5,0.65,False,False,0.16,0.76,0.96
113,Breaking Briefing: Border Operations Escalate,foreign_press,military,-0.23,10,0.25,False,False,0.31,1.0,1.0
114,Insider Demonstrations Under Review,independent,protest,-0.67,6,0.55,True,False,0.07,0.95,1.0
115,Scandal Report: Vaccine Data Discrepancies,anonymous_tip,health,0.42,4,0.55,False,False,0.26,0.66,0.86
116,Update Footage Questions Official Claims,independent,military,0.55,5,0.21,False,False,0.17,0.98,1.0
117,Breaking Audit Reveals Missing Funds,foreign_press,economy,0.47,4,0.31,False,False,0.1,0.94,1.0
118,Scandal Report: Vaccine Data Discrepancies,anonymous_tip,health,0.46,1,0.22,False,False,0.2,0.75,0.84
119,Exclusive Briefing: Border Operations Escalate,state_media,military,-0.17,3,0.38,False,False,0.45,0.51,0.73
120,Update Statement Raises Concerns,anonymous_tip,politics,0.1,4,0.14,False,False,0.21,0.92,1.0
121,Breaking Report: Actor Faces Allegations,independent,celebrity,-0.03,3,0.19,False,False,0.17,0.89,1.0
122,Update Surge in Cases Raises Alarm,independent,health,-0.06,3,0.43,False,False,0.45,0.48,0.71
123,Scandal Report: Vaccine Data Discrepancies,independent,health,0.2,4,0.53,False,False,0.31,0.62,0.83
124,Exclusive Demonstrations Under Review,foreign_press,protest,0.47,2,0.47,False,False,0.16,0.7,0.83
125,Insider Briefing: Border Operations Escalate,anonymous_tip,military,0.13,5,0.51,True,True,0.35,0.65,0.89
126,Breaking Demonstrations Under Review,state_media,protest,0.28,7,0.24,True,False,0.16,1.0,1.0
127,Update Memo Exposes Policy Rift,state_media,politics,-0.34,1,0.12,False,False,0.32,0.67,0.79
128,Update March Footage Removed Online,anonymous_tip,protest,-0.13,4,0.42,False,False,0.04,0.95,1.0
129,Exclusive Briefing: Border Operations Escalate,state_media,military,0.23,4,0.41,False,False,0.32,0.68,0.88
130,Scandal Briefing: Border Operations Escalate,state_media,military,-0.44,1,0.44,True,False,0.35,0.48,0.65
131,Breaking Report: Actor Faces Allegations,anonymous_tip,celebrity,-0.39,8,0.5,False,False,0.31,0.84,1.0
132,Insider Memo Exposes Policy Rift,foreign_press,politics,0.55,5,0.28,False,False,0.43,0.68,0.92
133,Update Report: Vaccine Data Discrepancies,independent,health,0.7,4,0.46,False,False,0.48,0.49,0.74
134,Breaking Report: Inflation Data Withheld,state_media,economy,0.11,9,0.08,False,False,0.32,1.0,1.0
135,Update Interview Sparks Debate,state_media,celebrity,-0.06,1,0.31,True,False,0.71,0.18,0.44
136,Insider Audit Reveals Missing Funds,state_media,economy,0.66,6,0.37,False,False,0.58,0.54,0.85
137,Insider March Footage Removed Online,anonymous_tip,protest,-0.41,3,0.22,False,False,0.19,0.86,0.98
138,Update Demonstrations Under Review,foreign_press,protest,0.15,6,0.63,True,False,0.21,0.77,1.0
139,Exclusive Surge in Cases Raises Alarm,foreign_press,health,-0.37,3,0.35,False,False,0.59,0.39,0.65
140,Update March Footage Removed Online,anonymous_tip,protest,-0.13,5,0.2,False,False,0.31,0.84,1.0
141,Insider Surge in Cases Raises Alarm,anonymous_tip,health,-0.06,2,0.31,False,False,0.3,0.64,0.8
142,Insider Footage Questions Official Claims,state_media,military,1.0,5,0.26,False,False,0.23,0.9,1.0
143,Insider Report: Vaccine Data Discrepancies,anonymous_tip,health,0.13,3,0.19,False,False,0.09,0.96,1.0
144,Insider Briefing: Border Operations Escalate,foreign_press,military,0.19,9,0.22,False,False,0.12,1.0,1.0
145,Breaking Surge in Cases Raises Alarm,anonymous_tip,health,-0.07,6,0.27,False,False,0.07,1.0,1.0
146,Update Report: Vaccine Data Discrepancies,anonymous_tip,health,0.24,3,0.35,False,False,0.32,0.66,0.84
147,Scandal Briefing: Border Operations Escalate,anonymous_tip,military,-0.25,4,0.19,False,False,0.23,0.87,1.0
148,Insider Report: Vaccine Data Discrepancies,independent,health,-1.0,6,0.1,False,True,0.28,0.98,1.0
149,Exclusive Statement Raises Concerns,state_media,politics,-0.23,0,0.16,False,False,0.21,0.71,0.79
150,Insider Surge in Cases Raises Alarm,foreign_press,health,0.48,4,0.36,False,False,0.13,0.89,1.0
151,Update Memo Exposes Policy Rift,anonymous_tip,politics,0.59,4,0.11,False,False,0.42,0.72,0.92
152,Breaking Interview Sparks Debate,foreign_press,celebrity,0.86,3,0.35,False,False,0.35,0.63,0.82
153,Update Interview Sparks Debate,foreign_press,celebrity,0.81,5,0.2,False,False,0.14,1.0,1.0
154,Update Statement Raises Concerns,anonymous_tip,politics,-0.42,6,0.37,False,False,0.51,0.61,0.9
155,Exclusive Audit Reveals Missing Funds,foreign_press,economy,-0.13,4,0.4,False,False,0.12,0.88,1.0
156,Insider Statement Raises Concerns,anonymous_tip,politics,0.61,6,0.25,True,False,0.29,0.88,1.0
157,Update Surge in Cases Raises Alarm,independent,health,-0.09,4,0.24,False,True,0.22,0.86,1.0
158,Scandal Report: Actor Faces Allegations,anonymous_tip,celebrity,0.2,6,0.26,True,False,0.4,0.77,1.0
159,Breaking Audit Reveals Missing Funds,independent,economy,0.5,5,0.18,True,False,0.58,0.58,0.85
160,Update March Footage Removed Online,anonymous_tip,protest,0.52,6,0.38,False,False,0.32,0.8,1.0
161,Scandal Briefing: Border Operations Escalate,anonymous_tip,military,0.67,5,0.09,False,True,0.24,0.96,1.0
162,Insider Report: Vaccine Data Discrepancies,foreign_press,health,-0.31,6,0.21,False,False,0.42,0.78,1.0
163,Scandal Report: Vaccine Data Discrepancies,state_media,health,0.69,4,0.22,False,False,0.04,1.0,1.0
164,Exclusive Briefing: Border Operations Escalate,state_media,military,-0.22,10,0.17,False,False,0.43,0.98,1.0
165,Exclusive Demonstrations Under Review,anonymous_tip,protest,0.31,3,0.15,False,False,0.28,0.8,0.94
166,Update Report: Actor Faces Allegations,anonymous_tip,celebrity,-0.46,4,0.35,False,False,0.48,0.54,0.79
167,Scandal Statement Raises Concerns,anonymous_tip,politics,0.74,4,0.34,False,False,0.49,0.54,0.79
168,Update Footage Questions Official Claims,independent,military,-0.45,3,0.35,True,False,0.2,0.77,0.92
169,Breaking Report: Vaccine Data Discrepancies,anonymous_tip,health,-0.21,2,0.26,False,False,0.6,0.37,0.61
170,Breaking Audit Reveals Missing Funds,anonymous_tip,economy,0.19,5,0.19,True,False,0.25,0.9,1.0
171,Insider Surge in Cases Raises Alarm,foreign_press,health,0.15,4,0.5,True,False,0.43,0.52,0.76
172,Breaking Report: Actor Faces Allegations,state_media,celebrity,0.35,5,0.47,False,False,0.14,0.88,1.0
173,Breaking Demonstrations Under Review,foreign_press,protest,-0.5,2,0.04,False,False,0.22,0.86,0.96
174,Breaking Surge in Cases Raises Alarm,state_media,health,-0.41,5,0.27,False,False,0.14,0.97,1.0
175,Breaking Interview Sparks Debate,foreign_press,celebrity,0.17,6,0.03,False,True,0.34,0.94,1.0
176,Update Surge in Cases Raises Alarm,anonymous_tip,health,-0.26,3,0.28,True,False,0.34,0.67,0.85
177,Insider March Footage Removed Online,foreign_press,protest,-0.12,1,0.41,False,False,0.39,0.45,0.63
178,Scandal Report: Vaccine Data Discrepancies,foreign_press,health,0.05,2,0.48,False,False,0.13,0.73,0.85
179,Breaking Memo Exposes Policy Rift,anonymous_tip,politics,0.19,3,0.12,False,False,0.25,0.84,0.98
180,Breaking Audit Reveals Missing Funds,state_media,economy,-0.38,5,0.69,False,False,0.17,0.74,0.94
181,Scandal Demonstrations Under Review,anonymous_tip,protest,-0.42,5,0.17,False,False,0.23,0.94,1.0
182,Breaking Report: Inflation Data Withheld,state_media,economy,0.08,4,0.35,False,False,0.08,0.95,1.0
183,Breaking Surge in Cases Raises Alarm,state_media,health,-0.85,3,0.46,False,False,0.34,0.58,0.78
184,Insider Report: Actor Faces Allegations,independent,celebrity,-0.16,3,0.54,True,True,0.47,0.41,0.66
185,Insider Interview Sparks Debate,independent,celebrity,-0.36,5,0.07,False,False,0.33,0.88,1.0
186,Insider Report: Vaccine Data Discrepancies,anonymous_tip,health,0.35,2,0.15,False,False,0.32,0.7,0.85
187,Breaking Report: Inflation Data Withheld,anonymous_tip,economy,0.25,7,0.35,False,False,0.34,0.83,1.0
188,Scandal Audit Reveals Missing Funds,anonymous_tip,economy,-0.87,6,0.19,False,False,0.42,0.78,1.0
189,Scandal March Footage Removed Online,foreign_press,protest,0.3,6,0.09,True,False,0.18,1.0,1.0
190,Scandal Report: Actor Faces Allegations,independent,celebrity,-0.01,4,0.6,False,False,0.25,0.65,0.85
191,Exclusive Briefing: Border Operations Escalate,independent,military,-0.04,4,0.19,False,False,0.12,0.98,1.0
192,Exclusive March Footage Removed Online,independent,protest,0.39,6,0.21,False,False,0.36,0.84,1.0
193,Exclusive Statement Raises Concerns,state_media,politics,-0.05,6,0.37,False,False,0.47,0.65,0.92
194,Scandal Statement Raises Concerns,state_media,politics,0.87,4,0.23,False,True,0.16,0.92,1.0
195,Exclusive Statement Raises Concerns,foreign_press,politics,-0.24,4,0.26,True,False,0.09,0.98,1.0
196,Breaking Demonstrations Under Review,state_media,protest,0.03,2,0.29,False,False,0.26,0.7,0.84
197,Update Audit Reveals Missing Funds,independent,economy,-0.3,5,0.33,False,True,0.07,1.0,1.0
198,Insider Audit Reveals Missing Funds,state_media,economy,0.2,6,0.22,True,False,0.17,1.0,1.0
199,Scandal Report: Vaccine Data Discrepancies,state_media,health,0.36,3,0.03,False,False,0.14,0.99,1.0
200,Update Footage Questions Official Claims,independent,military,-0.26,7,0.45,True,False,0.19,0.93,1.0
201,Scandal Report: Inflation Data Withheld,foreign_press,economy,0.11,5,0.16,False,False,0.28,0.89,1.0
202,Insider Surge in Cases Raises Alarm,independent,health,0.04,1,0.28,False,False,0.47,0.43,0.62
203,Insider Audit Reveals Missing Funds,anonymous_tip,economy,0.37,4,0.45,False,True,0.23,0.74,0.92
204,Insider Report: Vaccine Data Discrepancies,foreign_press,health,-0.7,8,0.52,False,False,0.23,0.91,1.0
205,Breaking Report: Actor Faces Allegations,state_media,celebrity,0.31,5,0.29,True,True,0.17,0.94,1.0
206,Breaking Demonstrations Under Review,state_media,protest,0.65,8,0.23,False,False,0.3,0.98,1.0
207,Insider Report: Inflation Data Withheld,foreign_press,economy,-0.04,2,0.23,False,False,0.43,0.56,0.74
208,Exclusive Briefing: Border Operations Escalate,foreign_press,military,-0.13,1,0.13,False,False,0.23,0.75,0.85
209,Update Surge in Cases Raises Alarm,anonymous_tip,health,0.2,2,0.15,False,False,0.42,0.6,0.78
210,Update Report: Actor Faces Allegations,foreign_press,celebrity,0.3,4,0.13,False,False,0.26,0.88,1.0
211,Breaking March Footage Removed Online,foreign_press,protest,-0.19,4,0.79,True,False,0.26,0.55,0.77
212,Insider Briefing: Border Operations Escalate,state_media,military,0.12,4,0.34,True,False,0.32,0.71,0.9
213,Insider Statement Raises Concerns,state_media,politics,-0.71,7,0.18,True,False,0.01,1.0,1.0
214,Breaking Report: Inflation Data Withheld,foreign_press,economy,-0.02,5,0.28,True,False,0.25,0.86,1.0
215,Scandal Interview Sparks Debate,independent,celebrity,0.24,0,0.34,True,False,0.34,0.49,0.63
216,Breaking Report: Inflation Data Withheld,anonymous_tip,economy,-0.39,2,0.13,False,False,0.35,0.68,0.83
217,Update March Footage Removed Online,state_media,protest,0.29,6,0.15,False,False,0.37,0.86,1.0
218,Update Demonstrations Under Review,foreign_press,protest,-0.01,3,0.31,True,False,0.17,0.82,0.95
219,Exclusive Interview Sparks Debate,independent,celebrity,-0.76,5,0.35,False,False,0.09,0.98,1.0
220,Insider Briefing: Border Operations Escalate,foreign_press,military,0.33,4,0.47,True,False,0.25,0.72,0.91
221,Update Statement Raises Concerns,anonymous_tip,politics,-1.0,5,0.4,False,False,0.51,0.54,0.82
222,Scandal Interview Sparks Debate,anonymous_tip,celebrity,0.42,10,0.38,False,True,0.19,1.0,1.0
223,Insider Interview Sparks Debate,foreign_press,celebrity,-0.33,7,0.26,False,False,0.2,1.0,1.0
224,Update Interview Sparks Debate,anonymous_tip,celebrity,0.33,3,0.19,True,False,0.14,0.91,1.0
225,Exclusive Surge in Cases Raises Alarm,foreign_press,health,0.34,4,0.33,True,False,0.02,1.0,1.0
226,Breaking March Footage Removed Online,anonymous_tip,protest,0.39,7,0.26,False,False,0.25,0.97,1.0
227,Scandal Memo Exposes Policy Rift,foreign_press,politics,0.0,6,0.25,False,True,0.2,0.98,1.0
228,Exclusive Briefing: Border Operations Escalate,foreign_press,military,0.13,5,0.5,False,False,0.5,0.5,0.79
229,Exclusive Report: Actor Faces Allegations,independent,celebrity,0.15,3,0.09,False,False,0.11,0.99,1.0
230,Update Statement Raises Concerns,anonymous_tip,politics,-0.22,4,0.38,False,False,0.33,0.68,0.88
231,Exclusive Surge in Cases Raises Alarm,foreign_press,health,0.97,6,0.28,False,False,0.07,1.0,1.0
232,Breaking Report: Actor Faces Allegations,anonymous_tip,celebrity,0.18,5,0.31,False,False,0.17,0.93,1.0
233,Scandal Footage Questions Official Claims,state_media,military,0.07,5,0.27,False,False,0.1,1.0,1.0
234,Scandal Footage Questions Official Claims,state_media,military,-0.04,1,0.14,False,False,0.25,0.74,0.84
235,Exclusive Audit Reveals Missing Funds,state_media,economy,-0.5,3,0.23,False,False,0.1,0.93,1.0
236,Insider Demonstrations Under Review,anonymous_tip,protest,0.63,2,0.25,False,False,0.42,0.55,0.74
237,Exclusive Footage Questions Official Claims,state_media,military,-0.33,9,0.06,False,False,0.27,1.0,1.0
238,Insider Audit Reveals Missing Funds,independent,economy,-0.88,8,0.09,False,False,0.16,1.0,1.0
239,Scandal Footage Questions Official Claims,state_media,military,-0.64,5,0.72,False,False,0.33,0.56,0.82
240,Update Report: Actor Faces Allegations,anonymous_tip,celebrity,0.72,4,0.54,False,False,0.45,0.49,0.74
241,Breaking Footage Questions Official Claims,state_media,military,-0.5,6,0.45,False,False,0.2,0.87,1.0
242,Scandal Surge in Cases Raises Alarm,anonymous_tip,health,-0.14,3,0.4,True,False,0.11,0.85,0.97
243,Exclusive Demonstrations Under Review,anonymous_tip,protest,-0.75,7,0.12,False,False,0.08,1.0,1.0
244,Breaking Report: Vaccine Data Discrepancies,anonymous_tip,health,0.01,3,0.16,False,True,0.74,0.33,0.62
245,Exclusive Memo Exposes Policy Rift,foreign_press,politics,-0.36,2,0.17,False,False,0.08,0.93,1.0
246,Update Memo Exposes Policy Rift,state_media,politics,0.35,4,0.2,False,False,0.26,0.84,1.0
247,Update Surge in Cases Raises Alarm,foreign_press,health,0.13,6,0.02,False,False,0.09,1.0,1.0
248,Update Memo Exposes Policy Rift,independent,politics,-0.46,4,0.32,True,False,0.1,0.95,1.0
249,Exclusive Surge in Cases Raises Alarm,anonymous_tip,health,-0.1,7,0.06,True,False,0.13,1.0,1.0
250,Exclusive Demonstrations Under Review,foreign_press,protest,0.56,1,0.43,False,False,0.25,0.59,0.72
251,Update Footage Questions Official Claims,anonymous_tip,military,-0.07,7,0.39,False,False,0.26,0.89,1.0
252,Insider Report: Inflation Data Withheld,foreign_press,economy,-0.25,2,0.09,False,False,0.38,0.67,0.83
253,Insider Statement Raises Concerns,independent,politics,0.27,5,0.21,False,True,0.43,0.72,0.95
254,Scandal March Footage Removed Online,state_media,protest,-0.14,5,0.46,False,False,0.14,0.88,1.0
255,Exclusive Interview Sparks Debate,independent,celebrity,-0.21,3,0.26,False,False,0.1,0.92,1.0
256,Scandal Interview Sparks Debate,independent,celebrity,0.25,7,0.59,False,False,0.4,0.65,0.95
257,Scandal Interview Sparks Debate,anonymous_tip,celebrity,-0.54,7,0.18,False,False,0.06,1.0,1.0
